date,open,high,low,close,volume
2016-01-04,109.430000,109.600000,108.120000,109.500000,50807643
2016-01-05,110.040000,110.180000,108.800000,109.310000,38795182
2016-01-06,107.440000,108.890000,107.410000,108.260000,41891091
2016-01-07,105.960000,107.290000,104.810000,104.870000,61386300
2016-01-08,105.680000,106.290000,103.900000,104.010000,69344012
2016-01-11,104.790000,105.060000,102.730000,104.330000,50024094
2016-01-12,105.310000,106.080000,104.080000,105.540000,46734241
2016-01-13,106.000000,106.230000,101.740000,101.900000,69870673
2016-01-14,102.300000,104.980000,100.670000,104.070000,78445735
2016-01-15,100.570000,101.940000,99.510000,100.840000,91443918
2016-01-19,102.200000,102.370000,99.880000,101.060000,56563845
2016-01-20,99.490000,101.830000,97.250000,100.750000,86674981
2016-01-21,101.190000,102.349000,99.820000,100.850000,61660101
2016-01-22,102.840000,103.810000,102.530500,103.770000,42229803
2016-01-25,103.460000,103.990000,102.140000,102.230000,38881485
2016-01-26,102.640000,103.590000,101.760000,103.150000,36143916
2016-01-27,102.550000,102.990000,100.150000,100.580000,54524736
2016-01-28,102.200000,102.290000,100.260000,102.000000,47641532
2016-01-29,102.000000,104.170000,101.940000,104.130000,54245067
2016-02-01,103.620000,104.800000,103.230000,104.410000,32750348
2016-02-02,103.970000,103.970000,101.840000,102.150000,44928088
2016-02-03,102.800000,102.830000,99.880000,101.660000,61572882
2016-02-04,101.350000,102.455000,100.440000,101.650000,49321638
2016-02-05,101.300000,101.330000,97.720000,98.120000,70749932
2016-02-08,96.330000,97.050000,94.840000,96.620000,91673063
2016-02-09,95.360000,97.780000,95.180000,96.320000,73778426
2016-02-10,97.480000,98.690000,96.620000,96.690000,59421699
2016-02-11,95.470000,97.320000,95.190000,96.550000,76839183
2016-02-12,97.680000,98.120000,96.730000,98.020000,49186494
2016-02-16,99.440000,100.230000,98.850000,100.230000,40565911
2016-02-17,101.000000,102.640000,100.700000,102.500000,41766451
2016-02-18,102.810000,102.840000,101.200000,101.330000,38991469
2016-02-19,100.910000,101.940000,100.615000,101.630000,28257915
2016-02-22,102.540000,103.380000,102.480000,103.280000,23979113
2016-02-23,102.670000,102.960000,101.510000,101.580000,29869660
2016-02-24,100.440000,102.680000,99.770000,102.550000,40739103
2016-02-25,102.760000,103.560000,101.840000,103.560000,29389315
2016-02-26,104.280000,104.365900,103.183500,103.430000,30925045
2016-02-29,103.325000,104.100000,102.500000,102.500000,27553937
